model_id,oven_name,mapping_note
palkkio,Saunaofen Spirit 9kW incl. Touch WiFi Steuerung und 60kg Saunasteine,Seite nennt 'Modell Spirit mit 9kW' als passend.
fass_standard,Narvi SAANA 9kW Säulenofen schwarz incl. Steuerung,Auf Produktseite als 'Öfen zur Auswahl' gelistet.
fass_standard,Bio-Saunaofen KASIA incl. Slimline Steuerung,Auf Produktseite als 'Öfen zur Auswahl' gelistet.
fass_standard,Sauna Ofen Moderna V80XE schwarz,Auf Produktseite als 'Öfen zur Auswahl' gelistet.
fass_standard,Elektrischer Saunaofen DROP 9kW ohne Steuerung,Auf Produktseite als 'Öfen zur Auswahl' gelistet.
fass_standard,Elektronische Saunaofensteuerung HUUM UKU 4.1 Local (ohne Bedienteil),Auf Produktseite als 'Öfen zur Auswahl' gelistet.
fass_standard,Elektronische Saunaofensteuerung HUUM UKU 4.1 Local Bedienteil Glass,Auf Produktseite als 'Öfen zur Auswahl' gelistet.
fass_standard,Saunaofen Aries 9kW incl. HUUM UKU Local Steuerung und 60kg Steinen,Auf Produktseite als 'Öfen zur Auswahl' gelistet.
fass_standard,Saunaofen CORE Black 9kW ohne Steuerung,Auf Produktseite als 'Öfen zur Auswahl' gelistet.
fass_standard,Saunaofen Spirit 9kW incl. Touch WiFi Steuerung und 60kg Saunasteine,Auf Produktseite als 'Öfen zur Auswahl' gelistet.
fass_standard,"FinTec Holzbefeuerter Saunaofen ""TROLL"" 7,8kW incl. Abgasanlage",Auf Produktseite als 'Öfen zur Auswahl' gelistet.
fass_standard,"Sauna Ofen Senator 10,5kW",Auf Produktseite als 'Öfen zur Auswahl' gelistet.
fass_standard,"Saunaofen Linear 18 Compact 14,3kW holzbefeuert",Auf Produktseite als 'Öfen zur Auswahl' gelistet.
fass_vorraum,Narvi SAANA 9kW Säulenofen schwarz incl. Steuerung,Auf Produktseite als 'Öfen zur Auswahl' gelistet.
fass_vorraum,Bio-Saunaofen KASIA incl. Slimline Steuerung,Auf Produktseite als 'Öfen zur Auswahl' gelistet.
fass_vorraum,Sauna Ofen Moderna V80XE schwarz,Auf Produktseite als 'Öfen zur Auswahl' gelistet.
fass_vorraum,Elektrischer Saunaofen DROP 9kW ohne Steuerung,Auf Produktseite als 'Öfen zur Auswahl' gelistet.
fass_vorraum,Elektronische Saunaofensteuerung HUUM UKU 4.1 Local (ohne Bedienteil),Auf Produktseite als 'Öfen zur Auswahl' gelistet.
fass_vorraum,Elektronische Saunaofensteuerung HUUM UKU 4.1 Local Bedienteil Glass,Auf Produktseite als 'Öfen zur Auswahl' gelistet.
